sample_id,domain,user_prompt,ground_truth_verdict,initial_llm_response,detector_risk,initial_trust_score,final_trust_score,trust_score_delta,attempts_count,is_approved,final_response,total_latency_ms
sample_36,general,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",hallucinated,The drug stores in which Warren Bryant was the CEO are located in Utah.,0.82,0.25,0.98,0.73,1,True,Longs Drugs is an American chain with approximately 40 drug stores throughout the state of Hawaii.,1640.07
sample_37,general,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",supported,Hawaii,0.12,0.98,0.98,0.0,1,True,Hawaii,0.02
sample_38,general,Which  American politician did Donahue replaced ,hallucinated,Donahue replaced Kelli Ward's position.,0.82,0.25,0.98,0.73,1,True,"Kelli Ward resigned from her position as the U.S. Representative for Ohio's 7th congressional district on February 1, 2019, and was succeeded by Donahue.",2553.07
sample_39,general,Which  American politician did Donahue replaced ,supported,Kelli Ward,0.12,0.98,0.98,0.0,1,True,Kelli Ward,0.03
sample_40,general,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",hallucinated,"Hole, the rock band that Courtney Love was a frontwoman of was founded first.",0.82,0.25,0.98,0.73,1,True,"The Wolfhounds were formed first, as they were formed in 1985, whereas Hole was formed in 1989.",2243.51
sample_41,general,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",supported,The Wolfhounds,0.12,0.98,0.98,0.0,1,True,The Wolfhounds,0.04
sample_42,general,How old is the female main protagonist of Catching Fire?,hallucinated,"17-year-old, just slightly older.",0.82,0.25,0.98,0.73,1,True,"Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.",5397.31
sample_43,general,How old is the female main protagonist of Catching Fire?,supported,16-year-old,0.12,0.98,0.98,0.0,1,True,16-year-old,0.02
sample_44,general,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,hallucinated,Chang was born before the war ended.,0.82,0.25,0.98,0.73,1,True,Chang was born when Korea was still under Japanese colonial rule. Korea under Japanese rule began with the end of the short-lived Korean Empire in 1910 and ended at the conclusion of World War II in 1945.,5510.57
sample_45,general,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,supported,World War II,0.12,0.98,0.98,0.0,1,True,World War II,0.02
sample_46,general,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,hallucinated,The director of the 2003 film featuring scenes at Quality Cafe is Kevin Phillips.,0.82,0.25,0.98,0.73,1,True,"The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day,"" ""Old School,"" ""Se7en,"" ""Ghost World,"" ""Gone in 60 Seconds,"" ""The Stepfather,"" ""What's Love Got to Do with It,"" ""Sex and Death 101,"" and ""Catch Me If You Can."" Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.",17325.5
sample_47,general,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,supported,Todd Phillips,0.12,0.98,0.98,0.0,1,True,Todd Phillips,0.02
sample_48,general,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",hallucinated,"New Faces of 1952 was responsible for launching the careers of many young performers, including actress Carol Lawrence.",0.82,0.25,0.98,0.73,1,True,"It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick. Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.",10002.3
sample_49,general,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",supported,Carol Lawrence,0.12,0.98,0.98,0.0,1,True,Carol Lawrence,0.02
sample_50,general,Were Pavel Urysohn and Leonid Levin known for the same type of work?,hallucinated,Pavel Urysohn and Leonid Levin collaborated on mathematical research.,0.82,0.25,0.25,0.0,3,False,Pavel Urysohn and Leonid Levin collaborated on mathematical research.,8264.13
sample_51,general,Were Pavel Urysohn and Leonid Levin known for the same type of work?,supported,no,0.12,0.98,0.98,0.0,1,True,no,0.02
sample_52,general,Are both The New Pornographers and Kings of Leon American rock bands?,hallucinated,"Yes, both The New Pornographers and Kings of Leon are now American rock bands.",0.82,0.25,0.98,0.73,1,True,"No, The New Pornographers is a Canadian indie rock band formed in 1997 in Vancouver, British Columbia, while Kings of Leon is an American rock band that formed in Nashville, Tennessee, in 1999.",5669.37
sample_53,general,Are both The New Pornographers and Kings of Leon American rock bands?,supported,no,0.12,0.98,0.98,0.0,1,True,no,0.02
sample_54,general,"750 7th Avenue and 101 Park Avenue, are located in which city?",hallucinated,"750 7th Avenue and 101 Park Avenue are located in Albany, New York.",0.82,0.25,0.98,0.73,1,True,"750 Seventh Avenue and 101 Park Avenue are both located in New York City, New York.",2934.7
sample_55,general,"750 7th Avenue and 101 Park Avenue, are located in which city?",supported,New York City,0.12,0.98,0.98,0.0,1,True,New York City,0.02
sample_56,general,"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",hallucinated,Kimberly was played by Amy Johnson.,0.82,0.25,0.98,0.73,1,True,"Kimberly Ann Hart is a fictional character in the ""Power Rangers"" universe. She is portrayed by actress Amy Jo Johnson throughout the series.",4122.77
sample_57,general,"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",supported,Amy Jo Johnson,0.12,0.98,0.98,0.0,1,True,Amy Jo Johnson,0.02
sample_58,general,"Who was born first, Pablo Trapero or Aleksander Ford?",hallucinated,Pablo Trapero was born first.,0.82,0.25,0.98,0.73,1,True,Aleksander Ford was born first.,1432.76
sample_59,general,"Who was born first, Pablo Trapero or Aleksander Ford?",supported,Aleksander Ford,0.12,0.98,0.98,0.0,1,True,Aleksander Ford,0.02
sample_60,general,Are Jane and First for Women both women's magazines?,hallucinated,"While Jane and First for Women are both publications, one is aimed at women while the other is not.",0.82,0.25,0.98,0.73,1,True,"No, Jane and First for Women are not both women's magazines.",1999.75
sample_61,general,What profession does Nicholas Ray and Elia Kazan have in common?,hallucinated,Nicholas Ray and Elia Kazan both worked in the film industry.,0.82,0.25,0.98,0.73,1,True,Both Nicholas Ray and Elia Kazan were involved in the film industry.,2124.62
sample_62,general,Where is the company that purchased Aixam based in?,hallucinated,Polaris Industries is based in Alaska.,0.82,0.25,0.98,0.73,1,True,"Polaris Industries is based in Roseau, Minnesota, USA.",1964.44
sample_63,general,Where is the company that purchased Aixam based in?,supported,"Roseau, Minnesota, USA",0.12,0.98,0.98,0.0,1,True,"Roseau, Minnesota, USA",0.02
sample_64,general,"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",hallucinated,Adam Clayton Powell is about civil rights leader.,0.82,0.25,0.98,0.73,1,True,The Saimaa Gesture is a 1981 film by Finnish directors Aki and Mika Kaurismäki. It is a documentary of three Finnish rock groups aboard the steamboat SS Heinävesi on their tour around Lake Saimaa.,6612.35
sample_65,general,"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",supported,The Saimaa Gesture,0.12,0.98,0.98,0.0,1,True,The Saimaa Gesture,0.02
sample_66,general,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",hallucinated,Cia Berg was inducted into the Rock and Roll Hall of Fame.,0.82,0.25,0.25,0.0,3,False,Cia Berg was inducted into the Rock and Roll Hall of Fame.,6349.07
sample_67,general,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",supported,David Lee Roth,0.12,0.98,0.98,0.0,1,True,David Lee Roth,0.02
sample_68,general,Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,hallucinated,Suffolk County is the sister school's location.,0.82,0.25,0.98,0.73,1,True,"It has a sister school in Carle Place, New York, United States. Carle Place Middle/High School is a six-year comprehensive public high school located in the hamlet of Carle Place in Nassau County, New York.",6074.16
sample_69,general,Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,supported,Nassau County,0.12,0.98,0.98,0.0,1,True,Nassau County,0.02
sample_70,general,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",hallucinated,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, which was located near California.",0.82,0.25,0.98,0.73,1,True,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, California.",6021.77
sample_71,general,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",supported,California,0.12,0.98,0.98,0.0,1,True,California,0.02
sample_72,general,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,hallucinated,The Pirna 014 was designed by engineers from Junkers in Stuggart.,0.82,0.25,0.98,0.73,1,True,"The Pirna 014 was designed by engineers from Junkers in Dessau, Germany.",2519.12
sample_73,general,"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",hallucinated,The University of Providence is of the Lutheran faith.,0.82,0.25,0.98,0.73,1,True,"The University of Providence is a private Roman Catholic university located in Great Falls, Montana.",2383.75
sample_74,general,"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",supported,Roman Catholic,0.12,0.98,0.98,0.0,1,True,Roman Catholic,0.05
sample_75,general,Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,hallucinated,"""I Still Haven't Found What I'm Looking For"" belongs to the ""War"" album.",0.82,0.25,0.98,0.73,1,True,"""Facts: 
1. Pauline Henry is a British Jamaican recording artist who was the vocalist in the Scottish band The Chimes.
2. The Chimes were active from 1988 to 1991.
3. The Chimes' most famous song is their 1990 cover version of U2's ""I Still Haven't Found What I'm Looking For.""

Based on these facts, we can conclude that the album ""I Still Haven't Found What I'm Looking For"" was part of The Chimes' 1990 cover version of U2's song, which was recorded during their time as a band from 1988 to 1991. Therefore, there is no specific album associated with this song; it was simply a cover version of U2's original song.",17697.5
sample_76,general,Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,supported,The Joshua Tree,0.12,0.98,0.98,0.0,1,True,The Joshua Tree,0.02
sample_77,general,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,hallucinated,The Guitars for Wounded Warriors album was recorded in Albany County.,0.82,0.25,0.98,0.73,1,True,"The Guitars for Wounded Warriors album was recorded in New Paltz, New York.",2387.5
sample_78,general,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,supported,Ulster County,0.12,0.98,0.98,0.0,1,True,Ulster County,0.02
sample_79,general,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",hallucinated,Tammy Wynette was one of the best-known female country music artists who sang a duet with her ex-husband.,0.82,0.25,0.98,0.73,1,True,"George Jones sang a duet with his ex-wife Tammy Wynette on the song ""Golden Ring.""",2780.44
sample_80,general,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",supported,Tammy Wynette,0.12,0.98,0.98,0.0,1,True,Tammy Wynette,0.02
sample_81,general,"Who was born first, Francis Nethersole or Elizabeth Stuart?",hallucinated,Elizabeth Stuart was born first.,0.82,0.25,0.98,0.73,1,True,Sir Francis Nethersole was born first.,1383.23
sample_82,general,"Who was born first, Francis Nethersole or Elizabeth Stuart?",supported,Sir Francis Nethersole,0.12,0.98,0.98,0.0,1,True,Sir Francis Nethersole,0.02
sample_83,general,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,hallucinated,Hacker-Pschorr Brewery must limit their beer's purity.,0.82,0.25,0.98,0.73,1,True,"The Hacker-Pschorr Brewery has no restrictions on its beer's ingredients as they adhere to the Reinheitsgebot, which limits beer production to water, hops, and barley malt.",4390.59
sample_84,general,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,supported,ingredients in beer,0.12,0.98,0.98,0.0,1,True,ingredients in beer,0.02
sample_85,general,"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",hallucinated,"The founder of PSI was Welsh, not Marks.",0.82,0.25,0.98,0.73,1,True,Dennis Howard Marks was the founder of the Psychedelic Shamanistic Institute (PSI).,2542.72
sample_86,general,"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",supported,Dennis Howard Marks,0.12,0.98,0.98,0.0,1,True,Dennis Howard Marks,0.02
sample_87,general,What male actor starred in The Messenger?,hallucinated,The Messenger starred Michael Sheen.,0.82,0.25,0.98,0.73,1,True,"The Messenger is a 2015 British supernatural mystery horror film directed by David Blair, written by Andrew Kirk and starring Robert Sheehan and Lily Cole. Robert Michael Sheehan (Irish: ""Roibeárd Mícheál Ó Siodhacháin"" ; born 7 January 1988) is an Irish actor.",8251.77
sample_88,general,What male actor starred in The Messenger?,supported,Robert Sheehan,0.12,0.98,0.98,0.0,1,True,Robert Sheehan,0.02
sample_89,general,Are Gin and tonic and Paloma both cocktails based on tequila?,hallucinated,"Yes, Gin and tonic and Paloma are both tequila-based cocktails.",0.82,0.25,0.25,0.0,3,False,"Yes, Gin and tonic and Paloma are both tequila-based cocktails.",13348.48
sample_90,general,Are Gin and tonic and Paloma both cocktails based on tequila?,supported,no,0.12,0.98,0.98,0.0,1,True,no,0.02
sample_91,general,Who is older Glenn Hughes or Ross Lynch?,hallucinated,Ross Lynch is the older one.,0.82,0.25,0.98,0.73,1,True,Glenn Hughes is the older one.,1303.74
sample_92,general,Who is older Glenn Hughes or Ross Lynch?,supported,Glenn Hughes,0.12,0.98,0.98,0.0,1,True,Glenn Hughes,0.02
sample_93,general,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?",hallucinated,"The creator of the current arrangement of the ""Simpson's Theme"" was born in 1941.",0.82,0.25,0.98,0.73,1,True,"""The creator of the current arrangement of the ""Simpsons"" Theme"" is Alf Heiberg Clausen, who was born on March 28, 1941.",4248.91
sample_94,general,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?",supported,"March 28, 1941",0.12,0.98,0.98,0.0,1,True,"March 28, 1941",0.02
sample_95,general,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,hallucinated,The Southern Railway runs on broad gauge track.,0.82,0.25,0.98,0.73,1,True,The Southern Railway runs on standard gauge track.,1657.46
sample_96,general,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,supported,standard gauge track,0.12,0.98,0.98,0.0,1,True,standard gauge track,0.02
sample_97,general,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,hallucinated,"Cynthia Nixon received her awards for her performance in ""Modern Family.""",0.82,0.25,0.98,0.73,1,True,"Nixon received an Emmy Award and a Screen Actors Guild Award for her performance. She is known for her portrayal of Miranda Hobbes in the HBO series, ""Sex and the City"" (1998–2004), for which she won the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series.",8140.52
sample_98,general,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,supported,Sex and the City,0.12,0.98,0.98,0.0,1,True,Sex and the City,0.03
sample_99,general,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",hallucinated,"Bruce Lee played the main character in ""The Green Hornet"" television series.",0.82,0.25,0.25,0.0,3,False,"Bruce Lee played the main character in ""The Green Hornet"" television series.",7815.93
sample_100,general,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",supported,Kato,0.12,0.98,0.98,0.0,1,True,Kato,0.03
sample_101,general,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",hallucinated,"Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in the United Kingdom.",0.82,0.25,0.98,0.73,1,True,"Their Goodison Park home hosted the drawn semi-final between Wednesday and Bolton Wanderers. Goodison Park is a football stadium located in Walton, Liverpool, England.",3805.65
sample_102,general,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",supported,England,0.12,0.98,0.98,0.0,1,True,England,0.02
sample_103,general,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",hallucinated,The A Head Full of Dreams Tour is the seventh tour by Coldplay and held its first show on an island in the Pacific Ocean owned by the band members.,0.82,0.25,0.98,0.73,1,True,"The A Head Full of Dreams Tour is the seventh concert tour currently being undertaken by British alternative rock band Coldplay, launched in support of their namesake seventh studio album ""A Head Full of Dreams"". The first show of the tour was held at the Estadio Ciudad de La Plata in La Plata, Argentina, on 31 March 2016 and is set to conclude at the same venue on 15 November 2017. It is also known popularly as the Estadio Único and is owned by the Province of Buenos Aires, administered jointly by the provincial government, the Municipality of La Plata, and the football clubs Estudiantes de La Plata and Gimnasia y Esgrima de la Plata.",17486.42
sample_104,general,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",hallucinated,Neil Gaiman directed Beowulf.,0.82,0.25,0.98,0.73,1,True,Robert Zemeckis directed Beowulf.,1606.55
sample_105,general,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",supported,Robert Zemeckis,0.12,0.98,0.98,0.0,1,True,Robert Zemeckis,0.02
sample_106,general,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",hallucinated,The film was released in 1938.,0.82,0.25,0.98,0.73,1,True,"Ginger Rogers was an American actress, dancer, and singer who appeared in films alongside Fred Astaire.",2902.79
sample_107,general,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",supported,1932,0.12,0.98,0.98,0.0,1,True,1932,0.02
